STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON MA US,19481129 14:00,0.25, , 
COOP:190770,BOSTON MA US,19481129 23:00,25399.75,[, 
COOP:190770,BOSTON MA US,19481130 00:00,25399.75,], 
COOP:190770,BOSTON MA US,19481201 01:00,0,g, 
COOP:190770,BOSTON MA US,19481206 11:00,0.76, , 
COOP:190770,BOSTON MA US,19481206 12:00,0.25, , 
COOP:190770,BOSTON MA US,19481206 13:00,0.51, , 
COOP:190770,BOSTON MA US,19481206 14:00,0.51, , 
COOP:190770,BOSTON MA US,19481206 16:00,0.25, , 
COOP:190770,BOSTON MA US,19481212 18:00,1.02, , 
COOP:190770,BOSTON MA US,19481212 19:00,2.29, , 
COOP:190770,BOSTON MA US,19481212 20:00,1.27, , 
COOP:190770,BOSTON MA US,19481212 21:00,0.51, , 
COOP:190770,BOSTON MA US,19481216 19:00,0.25, , 
COOP:190770,BOSTON MA US,19481216 20:00,1.52, , 
COOP:190770,BOSTON MA US,19481216 21:00,0.25, , 
COOP:190770,BOSTON MA US,19481216 22:00,0.76, , 
COOP:190770,BOSTON MA US,19481216 23:00,1.02, , 
COOP:190770,BOSTON MA US,19481217 00:00,0.51, , 
COOP:190770,BOSTON MA US,19481217 01:00,0.25, , 
COOP:190770,BOSTON MA US,19481217 02:00,0.76, , 
COOP:190770,BOSTON MA US,19481217 03:00,0.51, , 
COOP:190770,BOSTON MA US,19481217 04:00,0.51, , 
COOP:190770,BOSTON MA US,19481217 05:00,0.51, , 
COOP:190770,BOSTON MA US,19481219 13:00,0.25, , 
COOP:190770,BOSTON MA US,19481219 14:00,0.51, , 
COOP:190770,BOSTON MA US,19481219 15:00,0.76, , 
COOP:190770,BOSTON MA US,19481219 16:00,1.27, , 
COOP:190770,BOSTON MA US,19481219 17:00,1.27, , 
COOP:190770,BOSTON MA US,19481219 18:00,1.27, , 
COOP:190770,BOSTON MA US,19481219 19:00,1.52, , 
COOP:190770,BOSTON MA US,19481219 20:00,1.27, , 
COOP:190770,BOSTON MA US,19481219 21:00,1.02, , 
